AnimalName,BloodBrainDisease,AppearenceDisease,GeneralDisease,LungDisease,AbdominalDisease,HealthStatus
Pig,wasting,weightloss,headache,nasal discharge,uteria inertia,Critical
Pig,anemia,hairloss,pains,halitosis,fetopelvic disproportion,Critical
Pig,jaundice,scabs,fever,respiratory distress,abdominal pain,Critical
Pig,wasting,ruffled feathers,muscle aches,nasal discharge,abdominal pain,Critical
Pig,convulsions,ruffled feathers,coughing,halitosis,diarrhea,Critical
Tiger,convulsions,swelling,sweating,dyspnea,diarrhea,Critical
Tiger,seizures,ruffled feathers,vomiting,halitosis,upset stomach,Critical
Tiger,anemia,weightloss,vomiting,dyspnea,upset stomach,Critical
Tiger,seizures,swelling,fever,pneumonia,abdominal pain,Critical
Tiger,jaundice,weightloss,headache,dyspnea,abdominal pain,Critical
Tiger,convulsions,swelling,skin rashes,respiratory distress,fetopelvic disproportion,Critical
Tiger,seizures,weightloss,sneezing,dyspnea,upset stomach,Critical
Tiger,jaundice,swelling,headache,halitosis,uteria inertia,Critical
Tiger,jaundice,scabs,headache,pneumonia,uteria inertia,Critical
Tiger,wasting,ruffled feathers,skin rashes,respiratory distress,uteria inertia,Critical
Tiger,anemia,emaciation,skin rashes,nasal discharge,diarrhea,Critical
Tiger,convulsions,emaciation,skin rashes,halitosis,abdominal pain,Critical
Tiger,wasting,swelling,sneezing,dyspnea,diarrhea,Critical
Tiger,wasting,emaciation,coughing,dyspnea,ulcers,Critical
Tiger,jaundice,scabs,muscle aches,respiratory distress,ulcers,Critical
Tiger,wasting,swelling,headache,nasal discharge,diarrhea,Critical
Donkey,jaundice,swelling,headache,dyspnea,fetopelvic disproportion,Critical
Donkey,anemia,ruffled feathers,coughing,respiratory distress,abdominal pain,Critical
Donkey,jaundice,hairloss,loss of appetite,dyspnea,fetopelvic disproportion,Critical
Donkey,seizures,swelling,fever,difficulty in breathing,uteria inertia,Critical
Donkey,wasting,emaciation,dejection,halitosis,diarrhea,Critical
Donkey,seizures,swelling,headache,pneumonia,abdominal pain,Critical
Donkey,anemia,emaciation,muscle aches,halitosis,ulcers,Critical
Donkey,wasting,swelling,loss of appetite,respiratory distress,upset stomach,Critical
Donkey,seizures,swelling,fever,pneumonia,abdominal pain,Critical
Donkey,jaundice,swelling,vomiting,dyspnea,uteria inertia,Critical
Donkey,jaundice,weightloss,stumbling,respiratory distress,upset stomach,Critical
Donkey,seizures,emaciation,muscle aches,difficulty in breathing,fetopelvic disproportion,Critical
Donkey,seizures,scabs,pains,nasal discharge,uteria inertia,Critical
Donkey,wasting,ruffled feathers,headache,difficulty in breathing,uteria inertia,Critical
Donkey,jaundice,hairloss,loss of appetite,nasal discharge,uteria inertia,Critical
Donkey,convulsions,swelling,stumbling,respiratory distress,upset stomach,Critical
Donkey,convulsions,weightloss,stumbling,difficulty in breathing,abdominal pain,Critical
Donkey,jaundice,scabs,loss of appetite,difficulty in breathing,ulcers,Critical
Donkey,wasting,scabs,sneezing,dyspnea,upset stomach,Critical
Donkey,wasting,ruffled feathers,weakness,dyspnea,uteria inertia,Critical
Donkey,wasting,weightloss,loss of appetite,respiratory distress,fetopelvic disproportion,Critical
Donkey,anemia,swelling,vomiting,pneumonia,upset stomach,Critical
Donkey,jaundice,hairloss,coughing,halitosis,uteria inertia,Critical
Donkey,convulsions,hairloss,muscle aches,pneumonia,fetopelvic disproportion,Critical
Donkey,anemia,emaciation,coughing,difficulty in breathing,upset stomach,Critical
Donkey,seizures,emaciation,muscle aches,pneumonia,diarrhea,Critical
Donkey,convulsions,emaciation,stumbling,nasal discharge,upset stomach,Critical
Donkey,anemia,weightloss,skin rashes,nasal discharge,abdominal pain,Critical
Donkey,jaundice,weightloss,fever,nasal discharge,upset stomach,Critical
Donkey,seizures,emaciation,muscle aches,dyspnea,uteria inertia,Critical
Donkey,convulsions,emaciation,vomiting,nasal discharge,uteria inertia,Critical
Donkey,wasting,emaciation,dejection,dyspnea,fetopelvic disproportion,Critical
Donkey,wasting,weightloss,dejection,halitosis,upset stomach,Critical
Donkey,anemia,ruffled feathers,stumbling,halitosis,uteria inertia,Critical
Donkey,jaundice,hairloss,pains,halitosis,upset stomach,Critical
Donkey,anemia,scabs,loss of appetite,difficulty in breathing,abdominal pain,Critical
Donkey,wasting,scabs,dejection,pneumonia,diarrhea,Critical
Deer,wasting,weightloss,skin rashes,halitosis,fetopelvic disproportion,Critical
Deer,wasting,swelling,sweating,dyspnea,diarrhea,Critical
Deer,convulsions,emaciation,sneezing,pneumonia,fetopelvic disproportion,Critical
Deer,anemia,scabs,muscle aches,dyspnea,uteria inertia,Critical
Deer,anemia,swelling,pains,dyspnea,fetopelvic disproportion,Critical
Deer,convulsions,weightloss,weakness,respiratory distress,ulcers,Critical
Deer,jaundice,swelling,loss of appetite,pneumonia,ulcers,Critical
Deer,jaundice,ruffled feathers,dejection,halitosis,upset stomach,Critical
Deer,seizures,emaciation,skin rashes,pneumonia,ulcers,Critical
Deer,anemia,weightloss,stumbling,nasal discharge,ulcers,Critical
Deer,jaundice,scabs,weakness,nasal discharge,diarrhea,Critical
Deer,anemia,weightloss,dejection,dyspnea,upset stomach,Critical
Deer,seizures,ruffled feathers,coughing,respiratory distress,uteria inertia,Critical
Deer,convulsions,ruffled feathers,weakness,pneumonia,uteria inertia,Critical
Deer,convulsions,hairloss,stumbling,pneumonia,fetopelvic disproportion,Critical
Deer,convulsions,swelling,sneezing,nasal discharge,upset stomach,Critical
Deer,wasting,hairloss,muscle aches,pneumonia,ulcers,Critical
Deer,jaundice,hairloss,coughing,pneumonia,uteria inertia,Critical
Deer,convulsions,emaciation,weakness,nasal discharge,ulcers,Critical
Deer,convulsions,hairloss,sweating,difficulty in breathing,fetopelvic disproportion,Critical
Deer,wasting,ruffled feathers,skin rashes,nasal discharge,uteria inertia,Critical
Deer,jaundice,emaciation,fever,halitosis,abdominal pain,Critical
Deer,wasting,hairloss,fever,halitosis,uteria inertia,Critical
Deer,convulsions,swelling,skin rashes,respiratory distress,upset stomach,Critical
Deer,seizures,ruffled feathers,weakness,halitosis,upset stomach,Critical
Deer,jaundice,hairloss,dejection,respiratory distress,abdominal pain,Critical
Deer,anemia,weightloss,vomiting,halitosis,uteria inertia,Critical
Deer,jaundice,ruffled feathers,pains,difficulty in breathing,uteria inertia,Critical
Deer,anemia,emaciation,skin rashes,respiratory distress,fetopelvic disproportion,Critical
Deer,anemia,weightloss,fever,pneumonia,fetopelvic disproportion,Critical
Buffaloes,anemia,ruffled feathers,fever,pneumonia,upset stomach,Critical
Buffaloes,seizures,swelling,headache,dyspnea,upset stomach,Critical
Buffaloes,convulsions,hairloss,stumbling,halitosis,abdominal pain,Critical
Buffaloes,convulsions,ruffled feathers,vomiting,respiratory distress,abdominal pain,Critical
Buffaloes,wasting,weightloss,weakness,dyspnea,upset stomach,Critical
Buffaloes,anemia,weightloss,sweating,respiratory distress,uteria inertia,Critical
Buffaloes,convulsions,ruffled feathers,pains,respiratory distress,diarrhea,Critical
Buffaloes,wasting,weightloss,pains,dyspnea,diarrhea,Critical
Buffaloes,wasting,emaciation,headache,difficulty in breathing,uteria inertia,Critical
Buffaloes,convulsions,hairloss,coughing,halitosis,uteria inertia,Critical
Buffaloes,jaundice,emaciation,sneezing,respiratory distress,ulcers,Critical
Buffaloes,seizures,emaciation,sneezing,pneumonia,diarrhea,Critical
Buffaloes,anemia,swelling,fever,respiratory distress,uteria inertia,Critical
Buffaloes,wasting,ruffled feathers,vomiting,nasal discharge,abdominal pain,Critical
Buffaloes,wasting,emaciation,coughing,nasal discharge,upset stomach,Critical
Buffaloes,seizures,emaciation,weakness,halitosis,uteria inertia,Critical
Buffaloes,seizures,hairloss,weakness,nasal discharge,diarrhea,Critical
Buffaloes,convulsions,ruffled feathers,sweating,pneumonia,ulcers,Critical
Buffaloes,wasting,hairloss,headache,pneumonia,ulcers,Critical
Buffaloes,anemia,hairloss,loss of appetite,difficulty in breathing,diarrhea,Critical
Buffaloes,anemia,weightloss,weakness,dyspnea,ulcers,Critical
